date,location_id,meal,station,item_name,section_type
2026-04-17,bruin_cafe,Extended Dinner,Bruin Waffle Plate,Bruin Waffle Plate,static
2026-04-17,bruin_cafe,Extended Dinner,Parfait Fresh Berry,Parfait Fresh Berry,static
2026-04-17,bruin_cafe,Extended Dinner,Parfait Oatmeal Blueberry & Apple,Parfait Oatmeal Blueberry & Apple,static
2026-04-17,bruin_cafe,Extended Dinner,Fresh Fruit Cup,Fresh Fruit Cup,static
2026-04-17,bruin_cafe,Extended Dinner,Oatmeal,Oatmeal,static
2026-04-17,bruin_cafe,Extended Dinner,Instant Oatmeal - Baked Apple,Instant Oatmeal - Baked Apple,static
2026-04-17,bruin_cafe,Extended Dinner,Multi Grain Cheerios,Multi Grain Cheerios,static
2026-04-17,bruin_cafe,Extended Dinner,Cheerios Cereal,Cheerios Cereal,static
2026-04-17,bruin_cafe,Extended Dinner,Honey Nut Cheerios Cereal,Honey Nut Cheerios Cereal,static
2026-04-17,bruin_cafe,Extended Dinner,Lucky Charms Cereal,Lucky Charms Cereal,static
2026-04-17,bruin_cafe,Extended Dinner,Cinnamon Toast Crunch Cereal,Cinnamon Toast Crunch Cereal,static
2026-04-17,bruin_cafe,Extended Dinner,Cocoa Puffs,Cocoa Puffs,static
2026-04-17,bruin_cafe,Extended Dinner,Trix Cereal,Trix Cereal,static
2026-04-17,bruin_cafe,Extended Dinner,Rice Chex Cereal,Rice Chex Cereal,static
2026-04-17,bruin_cafe,Extended Dinner,Blackened Chicken Bowl,Blackened Chicken Bowl,static
2026-04-17,bruin_cafe,Extended Dinner,Ham & Swiss Sandwich,Ham & Swiss Sandwich,static
2026-04-17,bruin_cafe,Extended Dinner,Roasted Turkey & Provolone Sandwich,Roasted Turkey & Provolone Sandwich,static
2026-04-17,bruin_cafe,Extended Dinner,Smoky BBQ Sandwich,Smoky BBQ Sandwich,static
2026-04-17,bruin_cafe,Extended Dinner,BBQ Beef Brisket Sandwich,BBQ Beef Brisket Sandwich,static
2026-04-17,bruin_cafe,Extended Dinner,Chicken Ranch & Swiss Sandwich,Chicken Ranch & Swiss Sandwich,static
2026-04-17,bruin_cafe,Extended Dinner,The Cuban Sandwich,The Cuban Sandwich,static
2026-04-17,bruin_cafe,Extended Dinner,Chipotle BBQ Turkey Sandwich,Chipotle BBQ Turkey Sandwich,static
2026-04-17,bruin_cafe,Extended Dinner,Chicken Caesar Sandwich,Chicken Caesar Sandwich,static
2026-04-17,bruin_cafe,Extended Dinner,Roasted Salmon Sandwich,Roasted Salmon Sandwich,static
2026-04-17,bruin_cafe,Extended Dinner,Pastrami & Swiss Sandwich,Pastrami & Swiss Sandwich,static
2026-04-17,bruin_cafe,Extended Dinner,Chicken Pesto Sandwich,Chicken Pesto Sandwich,static
2026-04-17,bruin_cafe,Extended Dinner,Roasted Portobello Mushroom Sandwich,Roasted Portobello Mushroom Sandwich,static
2026-04-17,bruin_cafe,Extended Dinner,Buffalo Chicken Sandwich,Buffalo Chicken Sandwich,static
