Meal,Station,Food Name,Ounces,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Calcium,Iron,Potassium,is_vegetarian,is_vegan,is_halal,allergens
Breakfast,Freshly Bowled,Create-Your-Own Omelet Bar,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,True,"eggs,dairy"
Breakfast,Harvest,"Egg White, Spinach, & Turkey Sausage Sandwich",8.04,322,6.7g,0.68g,0g,6.13mg,769.08mg,47.5g,3.6g,5.1g,19.66g,96.56mg,3.42mg,384.71mg,False,False,False,"soy,gluten,tree_nuts,wheat,sesame,dairy,eggs"
Breakfast,Harvest,Scrambled Eggs,3.29,156,11.48g,3.24g,0.05g,337.59mg,116.16mg,0.91g,0g,0.22g,11.19g,56.26mg,1.58mg,122.51mg,True,False,True,eggs
Breakfast,Harvest,Scrambled Egg Whites,3.29,66,2.45g,0.18g,0g,0mg,153.37mg,0.94g,0g,0.22g,9.25g,7.26mg,0.04mg,153.37mg,True,False,True,eggs
Breakfast,Harvest,Vegan Scrambled Eggs,3.31,173,13.46g,0.22g,0g,0mg,370.36mg,2.05g,0g,0g,10.29g,4.12mg,2.05mg,131.68mg,True,True,False,soy
Breakfast,Harvest,Roasted Red Breakfast Potato Wedges,2.95,69,2.05g,0.18g,0g,0mg,67.53mg,11.61g,1.53g,1.64g,1.44g,11.17mg,0.58mg,322.85mg,True,True,True,
Breakfast,Harvest,Turkey Bacon,1.39,100,7.86g,2.62g,0g,39.3mg,353.7mg,1.89g,0g,0g,5.24g,3.93mg,0.28mg,61.31mg,False,False,False,
Breakfast,Stone Fired,Red Lentil Waffle,1.51,102,2.03g,0.45g,0.01g,14.27mg,52.63mg,16.1g,1.96g,1.3g,4.94g,25.05mg,1.31mg,116.75mg,True,False,False,"gluten,wheat,dairy,eggs"
Breakfast,Stone Fired,Pineapple Compote,1.02,35,0.03g,0g,0g,0mg,0.23mg,9.09g,0.32g,8.35g,0.12g,2.95mg,0.07mg,24.73mg,True,True,False,
Breakfast,Stone Fired,Waffle,1.25,70,1.49g,0.25g,0g,2.49mg,174.01mg,12.43g,0.5g,1.99g,1.49g,24.86mg,0.7mg,39.78mg,True,False,False,"soy,gluten,wheat,dairy,eggs"
Breakfast,Simply Grilled,Whole Wheat Pancakes w/ Amaranth & Chocolate Chips,3.58,235,7.14g,2.14g,0.04g,41.91mg,143.91mg,32.66g,3.15g,6.21g,8.32g,72.94mg,2.57mg,188.69mg,True,False,False,"soy,gluten,tree_nuts,wheat,dairy,eggs"
Breakfast,Simply Grilled,Vegan Pancake,3.65,149,1.76g,0.26g,0g,0mg,341.11mg,29.34g,3.41g,7.74g,5.92g,102.01mg,1.4mg,155.22mg,True,True,False,"soy,gluten,wheat"
Breakfast,Fruit,Cantaloupe,1,10,0.05g,0.01g,0g,0mg,4.51mg,2.3g,0.25g,2.22g,0.24g,2.54mg,0.06mg,75.29mg,True,True,False,
Breakfast,Fruit,Grapefruit,2,24,0.08g,0.01g,0g,0mg,0mg,6.03g,0.91g,3.9g,0.44g,12.45mg,0.05mg,76.41mg,True,True,False,
Breakfast,Fruit,Green Grapes,1,20,0.05g,0.01g,0g,0mg,0.56mg,5.1g,0.25g,4.37g,0.2g,2.82mg,0.1mg,53.86mg,True,True,False,
Breakfast,Fruit,Red Grapes,1,20,0.05g,0.01g,0g,0mg,0.56mg,5.1g,0.25g,4.37g,0.2g,2.82mg,0.1mg,53.86mg,True,True,False,
Breakfast,Fruit,Pineapple,3,43,0.1g,0.01g,0g,0mg,0.85mg,11.14g,1.19g,8.36g,0.46g,11.04mg,0.25mg,92.54mg,True,True,False,
Breakfast,Fruit,Watermelon,5,44,0.21g,0.03g,0g,0mg,1.42mg,10.69g,0.57g,8.78g,0.86g,9.91mg,0.34mg,158.59mg,True,True,False,
Breakfast,Sweet Bites,Multi-Grain Bread,1.48,96,1.07g,0.28g,0g,1.28mg,134.39mg,18.22g,2.26g,2.22g,3.37g,18.77mg,0.51mg,45.5mg,True,False,False,"soy,gluten,wheat,dairy"
Breakfast,Sweet Bites,Raisin Walnut Bread,1.75,86,0.4g,0.06g,0g,0mg,1776.75mg,18.57g,1.36g,3.22g,2.58g,35.59mg,0.5mg,80.63mg,True,True,True,"gluten,tree_nuts,wheat"
Breakfast,Sweet Bites,Whole Wheat Sourdough Bread,2.31,132,0.71g,0.11g,0g,0mg,147.37mg,27.06g,1.87g,0.8g,4.52g,10.93mg,0.66mg,68.47mg,True,True,True,"gluten,wheat"
Breakfast,Sweet Bites,Spiced Apple Bread,2.17,209,10.41g,1.01g,0.01g,35.03mg,153.29mg,27.29g,0.87g,21.96g,2.02g,11.24mg,0.48mg,61.85mg,True,False,False,"gluten,wheat,eggs"
Breakfast,Sweet Bites,Cinnamon Quickbread,2.31,221,6.61g,0.51g,0g,0.01mg,144.99mg,36.91g,0.82g,19.38g,3.3g,29.51mg,1.15mg,46.89mg,True,True,False,"soy,gluten,wheat,alcohol"
Breakfast,Sweet Bites,Almond Cashew Butter,1,167,14.09g,1.73g,0g,0mg,0.49mg,7.24g,2.13g,1.22g,5.12g,54.9mg,1.37mg,181.59mg,True,True,False,"soy,peanuts,tree_nuts"
Breakfast,Sweet Bites,Mango Blueberry Compote,1.27,33,0.11g,0g,0g,0mg,0.28mg,7.98g,0.53g,7.27g,0.23g,0.48mg,0.02mg,49.17mg,True,True,False,
Breakfast,Sweet Bites,Chocolate Peanut Butter,1.03,99,6.59g,1.42g,0g,0mg,189.49mg,5.36g,2.48g,2.94g,3.66g,13.88mg,0.56mg,55.73mg,True,False,False,"soy,peanuts,dairy"
Breakfast,Sweet Bites,Kiwi-Apple Compote,1.86,60,0.14g,0.01g,0g,0mg,0.79mg,15.19g,1.25g,13.14g,0.31g,7.16mg,0.09mg,84.83mg,True,True,False,
Breakfast,Beverage Special,Cherry Lime Water,10.2,5,0.06g,0g,0g,0mg,11.51mg,1.19g,0.17g,0.9g,0.09g,9.83mg,0.06mg,13.44mg,True,True,False,
Breakfast,Cereal / Oatmeal,Oatmeal,5.52,286,4.21g,0.84g,0g,0mg,1091.16mg,53.72g,8.4g,1.67g,8.4g,46.01mg,3.02mg,278.72mg,True,True,False,gluten
Breakfast,Cereal / Oatmeal,Savory Grits,1.94,29,0.46g,0.03g,0g,0mg,42.38mg,5.61g,0.73g,0.77g,0.61g,9.65mg,0.1mg,61.89mg,True,True,False,
Lunch,Soups,Steak & Mushroom Soup,6.03,70,2.77g,0.67g,0.09g,16.4mg,458.44mg,3.89g,1.01g,1.37g,7.46g,20.8mg,0.99mg,226.91mg,False,False,False,"soy,gluten,wheat"
Lunch,Soups,Creamy Tomato Basil Soup,6.05,120,8.36g,5.23g,0.27g,25.45mg,235.18mg,10.73g,2.14g,6.1g,2.5g,36.23mg,2.02mg,516.17mg,True,False,True,dairy
Lunch,Freshly Bowled,Create-Your-Own Omelet Bar,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,True,"eggs,dairy"
Lunch,Harvest,"Chicken, Watercress & Asparagus Stacker",3.33,145,5.23g,1.39g,0g,17.4mg,190.9mg,14.13g,1.48g,1.09g,9.26g,20.92mg,0.68mg,101.23mg,False,False,False,"gluten,wheat,dairy,alcohol"
Lunch,Harvest,Spinach & Bulgur Wheat Taco,6.39,293,13.24g,1.49g,0g,0mg,478.12mg,32.05g,6.97g,1.32g,13.75g,96.8mg,3.01mg,700.01mg,True,True,False,"soy,gluten,wheat,sesame"
Lunch,Farmstand,Frijoles de la Olla,1.99,90,1.54g,0.15g,0g,0mg,137.85mg,14.05g,3.46g,0.59g,4.75g,26.47mg,1.12mg,311.15mg,True,True,True,
Lunch,Farmstand,Brown Calrose Rice,2.03,105,0.77g,0.15g,0g,0mg,2.3mg,21.89g,0.98g,0g,2.16g,10.34mg,0.52mg,77.03mg,True,True,True,
Lunch,Farmstand,Bulgur Wheat,2.03,81,0.44g,0g,0g,0mg,97.67mg,15.68g,2.26g,0.18g,3.1g,6.86mg,0.45mg,40.36mg,True,True,True,"gluten,wheat"
Lunch,Farmstand,Grilled Asparagus,2.14,24,1.38g,0.21g,0g,0mg,312.54mg,2.45g,1.3g,1.1g,1.32g,15.27mg,1.28mg,121.68mg,True,True,False,
Lunch,Farmstand,Chinese Kale w/ Five Spice,2.73,36,1.93g,0.19g,0g,0mg,77.76mg,3.64g,1.98g,0.66g,0.93g,79.88mg,0.46mg,208.32mg,True,True,True,
Lunch,Stone Fired,Cilantro Pesto w/ Tri-Tip Tortilla Pizza,2.13,118,6.93g,1.33g,0g,14.71mg,827.78mg,7.9g,1.09g,0.48g,5.75g,42.61mg,0.93mg,152.49mg,False,False,True,"tree_nuts,sesame,dairy"
Lunch,Stone Fired,"Pear, Thyme, & Blue Cheese Pizza",3.18,170,2.22g,0.8g,0g,4.18mg,87.41mg,33.75g,2.82g,13.91g,4.54g,35.13mg,0.7mg,89.78mg,True,False,False,"soy,gluten,wheat,dairy"
Lunch,Simply Grilled,Halal Lemon Ginger Chicken Thigh,1.67,57,2.07g,0.48g,0.01g,36.63mg,99.54mg,1.27g,0.07g,0.76g,7.82g,3.67mg,0.33mg,104.82mg,False,False,True,"soy,gluten,wheat"
Lunch,Simply Grilled,Grilled Potato & Cabbage Cake,2.04,67,2.77g,0.21g,0g,0mg,138.87mg,9.56g,1.38g,1.07g,1.14g,14.77mg,0.48mg,248.52mg,True,True,False,
Lunch,Simply Grilled,Baked Purple Potato,3.09,87,2.34g,0.18g,0g,0mg,5.11mg,14.91g,1.79g,0.7g,1.75g,10.23mg,0.69mg,362.26mg,True,True,True,
Lunch,Fruit,Cantaloupe,1,10,0.05g,0.01g,0g,0mg,4.51mg,2.3g,0.25g,2.22g,0.24g,2.54mg,0.06mg,75.29mg,True,True,False,
Lunch,Fruit,Green Grapes,1,20,0.05g,0.01g,0g,0mg,0.56mg,5.1g,0.25g,4.37g,0.2g,2.82mg,0.1mg,53.86mg,True,True,False,
Lunch,Fruit,Red Grapes,1,20,0.05g,0.01g,0g,0mg,0.56mg,5.1g,0.25g,4.37g,0.2g,2.82mg,0.1mg,53.86mg,True,True,False,
Lunch,Fruit,Pineapple,3,43,0.1g,0.01g,0g,0mg,0.85mg,11.14g,1.19g,8.36g,0.46g,11.04mg,0.25mg,92.54mg,True,True,False,
Lunch,Fruit,Watermelon,1,9,0.04g,0.01g,0g,0mg,0.28mg,2.13g,0.11g,1.75g,0.17g,1.97mg,0.07mg,31.58mg,True,True,False,
Lunch,Fruit,Kiwi,2.4,42,0.35g,0.02g,0g,0mg,2.04mg,9.95g,2.04g,6.1g,0.77g,23.09mg,0.21mg,211.85mg,True,True,False,
Lunch,Sweet Bites,Multi-Grain Bread,1.48,96,1.07g,0.28g,0g,1.28mg,134.39mg,18.22g,2.26g,2.22g,3.37g,18.77mg,0.51mg,45.5mg,True,False,False,"soy,gluten,wheat,dairy"
Lunch,Sweet Bites,Raisin Walnut Bread,1.75,86,0.4g,0.06g,0g,0mg,1776.75mg,18.57g,1.36g,3.22g,2.58g,35.59mg,0.5mg,80.63mg,True,True,True,"gluten,tree_nuts,wheat"
Lunch,Sweet Bites,Whole Wheat Sourdough Bread,2.31,132,0.71g,0.11g,0g,0mg,147.37mg,27.06g,1.87g,0.8g,4.52g,10.93mg,0.66mg,68.47mg,True,True,True,"gluten,wheat"
Lunch,Sweet Bites,Tofu Cranberry Bar,164.48,14707,492.39g,166.93g,0g,0mg,181069.11mg,2536.1g,130.56g,1714.98g,187.44g,3174.9mg,43.83mg,4116.32mg,False,False,True,"soy,gluten,wheat"
Lunch,Sweet Bites,Spiced Apple Bread,2.17,209,10.41g,1.01g,0.01g,35.03mg,153.29mg,27.29g,0.87g,21.96g,2.02g,11.24mg,0.48mg,61.85mg,True,False,False,"gluten,wheat,eggs"
Lunch,Sweet Bites,Cinnamon Quickbread,2.31,221,6.61g,0.51g,0g,0.01mg,144.99mg,36.91g,0.82g,19.38g,3.3g,29.51mg,1.15mg,46.89mg,True,True,False,"soy,gluten,wheat,alcohol"
Lunch,Sweet Bites,Almond Butter,1.08,195,17.92g,1.47g,0g,0mg,84.44mg,5.49g,2.85g,1.27g,5.48g,70.06mg,0.98mg,186.4mg,True,True,False,tree_nuts
