Meal,Station,Food Name,Ounces,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Calcium,Iron,Potassium,is_vegetarian,is_vegan,is_halal,allergens
All Day,Caesar,Caesar,7,143,6.17g,5.73g,0g,28.34mg,296.89mg,5.59g,3.57g,2.02g,24.75g,282.72mg,2.78mg,561.47mg,True,False,False,dairy
All Day,Chicken Caesar,Chicken Caesar,8,257,8.52g,5.74g,0g,77.19mg,357.66mg,3.94g,2.4g,1.38g,43.64g,265.28mg,2.24mg,424.43mg,False,False,False,dairy
All Day,Pollo Verdura,Pollo Verdura,12.81,340,12.45g,4.94g,0g,69.1mg,402.13mg,21.46g,7.04g,7.84g,31.59g,262.99mg,2.4mg,623.84mg,False,False,False,dairy
All Day,Gamberetti,Gamberetti,9,424,31.03g,7.68g,0.03g,135.43mg,774.21mg,5.81g,2.63g,1.4g,35.9g,322.17mg,2.7mg,538.82mg,False,False,False,"fish,dairy"
All Day,Mediterranean Salad,Mediterranean Salad,12.01,459,43.57g,0.14g,0g,0mg,3835.42mg,35.2g,7.11g,8.17g,6.74g,153.86mg,2.55mg,899.98mg,True,True,False,
All Day,Vegetarian Tagliata Salad,Vegetarian Tagliata Salad,10.5,190,9.76g,4.7g,0g,20.24mg,1178.2mg,16.61g,6.13g,4.52g,10.24g,297.51mg,2.2mg,483.75mg,True,False,False,dairy
All Day,Insalata Di Salmone,Insalata Di Salmone,11.51,254,13.9g,3.13g,0g,54.44mg,267.45mg,8.81g,3.69g,4.08g,23.98g,92.35mg,2.67mg,1072.06mg,False,False,False,fish
All Day,Pollo Parma,Pollo Parma,11.78,681,29.75g,13.86g,0g,111.36mg,905.07mg,48.92g,2.27g,3.44g,51.59g,670.04mg,1.34mg,433.94mg,False,False,False,"gluten,wheat,dairy"
All Day,Florentino,Florentino,12.25,888,55.34g,11.32g,0g,116.87mg,789.95mg,46.28g,2.22g,1.77g,43.12g,353.76mg,1.18mg,290.4mg,False,False,False,"soy,gluten,wheat,dairy,eggs"
All Day,Tacchino,Tacchino,15.75,955,60.31g,17.99g,0g,121.38mg,1910.82mg,53.52g,4.73g,3.35g,50.31g,434.53mg,1.7mg,1011.45mg,False,False,False,"soy,gluten,wheat,dairy,eggs"
All Day,Campania,Campania,10.84,394,11.09g,5.44g,0g,20.34mg,564.97mg,51.95g,4.58g,5.93g,21.23g,330.92mg,1.17mg,547.89mg,True,False,False,"gluten,wheat,dairy"
All Day,Heirloom Tomato Caprese,Heirloom Tomato Caprese,7.18,346,9.17g,5.51g,0g,22.86mg,486.51mg,49.18g,2.2g,3.86g,15.28g,46.52mg,0.98mg,253.84mg,True,False,False,"gluten,wheat,dairy,alcohol"
All Day,Pepperoni,Pepperoni,12,1031,64.04g,21.63g,0g,100.4mg,1620.54mg,70.23g,2.89g,2.41g,42.41g,552.7mg,2.24mg,237.56mg,False,False,False,"gluten,wheat,dairy"
All Day,Formaggi,Formaggi,10.75,820,44.36g,14.02g,0g,54.85mg,892.13mg,70.42g,3.02g,2.44g,35.07g,565.28mg,2.47mg,258.51mg,True,False,False,"gluten,wheat,dairy"
All Day,Genova,Genova,12.5,862,37.52g,19.42g,0.04g,141.05mg,1016.31mg,71.04g,2.34g,1.98g,58.28g,582.5mg,2.48mg,326.81mg,False,False,False,"gluten,wheat,dairy"
