Meal,Station,Food Name,Ounces,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Calcium,Iron,Potassium,is_vegetarian,is_vegan,is_halal,allergens
All Day,.,Craft Your Own Breakfast Skillet,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,True,"soy,eggs"
All Day,.,Croque Monsieur,12.81,705,30.97g,18.63g,0.07g,106.17mg,1785.33mg,72.22g,3.3g,5.77g,35.18g,441.82mg,1.38mg,454.82mg,True,False,False,"gluten,wheat,dairy,alcohol"
All Day,.,Croque Madame,13.85,750,35.64g,19.15g,0.08g,285.78mg,1745.96mg,68.1g,3.1g,5.61g,39.29g,442.5mg,2.16mg,495.77mg,True,False,False,"gluten,wheat,dairy,eggs,alcohol"
All Day,.,Whipped Cream & Seasonal Fresh Fruit Belgian Waffle,7.24,876,44.28g,26.74g,0.04g,264.81mg,309.38mg,98.11g,4.51g,39.21g,15.25g,76.07mg,4.45mg,241.79mg,True,False,False,"gluten,wheat,dairy,eggs,alcohol"
All Day,.,Chocolate-Hazelnut & Seasonal Fresh Fruit Belgian Waffle,7.62,958,45.32g,24.12g,0.04g,217.48mg,322.45mg,119.65g,7.04g,61.47g,17.62g,78.89mg,4.51mg,176.43mg,True,False,False,"soy,gluten,wheat,dairy,eggs,alcohol"
All Day,.,Waffle with Caramel & Seasonal Fresh Fruit,7.14,849,35.28g,20.53g,0.04g,224.39mg,354.81mg,114.26g,4.23g,53.23g,15.01g,93.54mg,4.39mg,164.57mg,True,False,False,"gluten,wheat,dairy,eggs,alcohol"
All Day,.,Craft Your Own Breakfast Sandwich,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,False,"soy,gluten,wheat,sesame,dairy,fish,eggs,alcohol"
All Day,.,Create Your Own Breakfast Croissant,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,True,"gluten,wheat,dairy,eggs,soy,fish,alcohol"
All Day,Coffee & Tea,Brewed Tea,16.16,0,0g,0g,0g,0mg,18.14mg,0g,0g,0g,0g,13.6mg,0mg,0mg,True,True,False,
All Day,Coffee & Tea,Hot Chocolate,15.21,379,2.85g,1.68g,0g,7.33mg,475.68mg,71.61g,2.37g,60.48g,16.64g,532.97mg,0.86mg,1027.1mg,True,False,False,"soy,dairy"
All Day,Coffee & Tea,Brewed Coffee,17.38,70,0.1g,0.05g,0g,0mg,26.16mg,14.73g,0g,0g,2.36g,41.77mg,0.89mg,691.31mg,True,True,False,
All Day,Coffee & Tea,Espresso Decaf,2.25,17,0.01g,0.01g,0g,0mg,3.47mg,3.66g,0g,0g,0.56g,8.5mg,0.18mg,168.49mg,True,True,False,
All Day,Coffee & Tea,Iced Brewed Coffee,16,107,0g,0g,0g,0mg,44.49mg,21.27g,0g,0g,7.07g,6.8mg,0mg,1984.06mg,True,True,False,
All Day,Coffee & Tea,Nitro Cold Coffee,16,214,0g,0g,0g,0mg,70.88mg,42.54g,0g,0g,14.19g,0mg,0mg,3968.13mg,True,True,False,
All Day,Coffee & Tea,Chai Tea Latte,15.24,307,0.04g,0g,0g,0.56mg,25.09mg,60.94g,0g,60.98g,0.95g,45.05mg,0mg,44.23mg,True,False,False,dairy
All Day,Coffee & Tea,Horchata Latte,14.5,480,28.65g,18.41g,0g,114.59mg,96.95mg,43.94g,0.74g,29.43g,5.1g,176.89mg,0.49mg,243.07mg,True,False,False,dairy
All Day,Coffee & Tea,Americano,16.48,1,0g,0g,0g,0mg,19.66mg,0.14g,0g,0g,0g,13.92mg,0mg,11.02mg,True,True,False,
All Day,Coffee & Tea,Cappuccino,8.64,61,2.35g,1.49g,0.1g,9.42mg,61.44mg,5.83g,0g,5.97g,3.89g,145.14mg,0.02mg,176.04mg,True,False,False,dairy
All Day,Coffee & Tea,Café Latte,16.48,117,0.28g,0.19g,0g,6.82mg,148.91mg,17.05g,0g,17.33g,11.49g,418.66mg,0.09mg,541.6mg,True,False,False,dairy
